
i,Cash,"2,20,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,20,000
2 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
5,707  5 Thou+

SBI
2,463  2 Thou+

SBI
6,504  6 Thou+

SBI
12,713  12 Thou+

IDBI
10,000  10 Thou+",Nil,Nil,"IDBI Bank
12,000  12 Thou+",Nil,Nil,"Rs 49,387
49 Thou+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
v,Personal loans/advance given,"Anabhausathe Fooundation
2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,00,000
2 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","Tata Safari VX MH26B6999
17,00,000  17 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 17,00,000
17 Lacs+"
vii,Jewellery (give details weight value),Nil,"2 Tola Gold
60,000  60 Thou+",Nil,Nil,Nil,Nil,"Rs 60,000
60 Thou+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"21,57,387  21 Lacs+","60,000  60 Thou+",Nil,"12,000  12 Thou+",Nil,Nil,"Rs 22,29,387
22 Lacs+"
Totals (Calculated as Sum of Values),"Rs 21,57,387
21 Lacs+","Rs 60,000
60 Thou+",Nil,"Rs 12,000
12 Thou+",Nil,Nil,"Rs 22,29,387
22 Lacs+"
